Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22928858,"Genghis Khan: His Conquests, His Empire, His Legacy",Frank McLynn,"McLynn, Frank",,"=""0306823950""","=""9780306823954""",3,3.81,Da Capo Press,Hardcover,704,2015,2015,2023/09/05,2023/09/05,,,read,"Not a bad read for someone with a passing interest who will probably never read anything else about the Mongols and Genghis Khan. <br/><br/>A lot of other reviews mention the shortcomings, and many of them are valid, but to get the exact angle you want or every aspect you’d need to read several different authors. I fully disagree the author wasn’t transparent about the competing perspectives on most points of contention and treated the subject very fairly. The author had a better eye for nuance than most and did not give in too much to sensationalism. <br/><br/>I do agree it was a slog at times. The author even seems to betray his original theme of avoiding “one damned battle after another” with pages and pages of this city surrendered and was slaughtered or this city held out for two weeks and on and on. We could have done without a lot of that and pursued richer material, which the author seems to have wanted to on several points but for some reason held back from. I really liked his asides and contextual framing even though some went on too long and didn’t seem very relevant (my favorite kind of relevancy, sometimes) or, worse, ended too soon with huge questions unanswered. That’s fine, just new avenues of interest opened and more books to add to the ever growing backlog. <br/><br/>My biggest gripe is the authors interest seems to wax and wane throughout the project. The result is a bit of inconsistency, great energy and promise at the onset, the long slog of rote information, and then a rush to the finish. Who he chose to focus on times seemed like it was motivated out of some personal interest or maybe just the sources were better. It would have been worth more to his initial stated goal to cut content and touch more on how the empire fell apart, who filled the vacuum, and how that played out to the modern day. Instead we just leave it as there were four major khanates therefore the story was over for the mongols. One of those Khanates ruled China and the other was literally called the Golden Horde, so we had more to talk about, I think. <br/><br/>To top off the complement sandwich, the author did a great job talking about the cultural, social, and political aspects that made this episode in history seem almost inevitable. I came to this book trying to understand how a bunch of pastoralists conquered China and half the rest of the world and who the man that took the reins on this was. It really was just the exact right (and phenomenally lucky) person at the exact right place and exact right time. The end result was what we got, a short lived and seemingly random episode that will forever have altered all of human history. <br/><br/>Long story short, I learned a ton but wish I’d skipped some pages.",,,1,0
310612,A Confederacy of Dunces,John Kennedy Toole,"Toole, John Kennedy",Walker Percy,"=""0802130208""","=""9780802130204""",4,3.89,Grove Weidenfeld,Paperback,394,1994,1980,2023/04/15,2023/04/15,,,read,Weird and pointless in the best way possible. ,,,1,0
1694502,Designing Freedom,Stafford Beer,"Beer, Stafford",,"=""047195165X""","=""9780471951650""",0,4.17,John Wiley & Sons,Paperback,108,1995,1974,,2024/03/09,to-read,to-read (#322),to-read,,,,0,0
35734351,"Cyber Mercenaries: The State, Hackers, and Power",Tim   Maurer,"Maurer, Tim",,"=""110756686X""","=""9781107566866""",0,3.91,Cambridge University Press,Paperback,266,2018,,2024/03/09,2024/03/09,,,read,,,,1,0
39289665,The Walter Lippmann Colloquium: The Birth of Neo-Liberalism,Jurgen Reinhoudt,"Reinhoudt, Jurgen",Serge Audier,"=""3319658859""","=""9783319658858""",0,3.75,Palgrave Macmillan,Kindle Edition,313,2017,,,2024/03/09,to-read,to-read (#321),to-read,,,,0,0
13008497,Cybernetic Revolutionaries: Technology and Politics in Allende's Chile,Eden Medina,"Medina, Eden",,"=""0262016494""","=""9780262016490""",0,4.27,Mit Pr,Hardcover,326,2011,2011,,2024/03/09,to-read,to-read (#320),to-read,,,,0,0
337123,Complexity: The Emerging Science at the Edge of Order and Chaos,M. Mitchell Waldrop,"Waldrop, M. Mitchell",,"=""0671872346""","=""9780671872342""",5,4.05,Simon & Schuster,Paperback,384,1992,1992,2022/11/25,2019/09/02,c1,c1 (#2),read,"Really great book. A lot of the negative reviews mention it being too people or history focused and not enough concrete about the science of complexity. I’d try and find that in a textbook. <br/><br/>The author did a great job capturing the unique backgrounds of the major players and the themes that unified them, and ultimately led to the study of complexity.<br/><br/>As an overview and introduction, it opens up a lot of avenues and covers all background concepts that every course or textbook I’ve seen on complexity is organized around. My only criticism is the Anglo-centrism of it. As with most things, the scientists involved didn’t pull this out of thin air, and there’s probably even more going on at this point around these studies outside the States. ",,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu","Ken Liu, Cixin Liu","=""""","=""""",0,4.09,Tor Books,Hardcover,472,2014,2006,2024/03/08,2024/03/08,,,read,,,,1,0
17255186,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford","=""0988262592""","=""9780988262591""",0,4.26,IT Revolution Press,Hardcover,345,2013,2013,,2024/03/04,to-read,to-read (#319),to-read,,,,0,0
355190,Orientalism,Edward W. Said,"Said, Edward W.",,"=""""","=""""",0,4.11,Vintage,Paperback,424,2003,1978,,2024/03/03,to-read,to-read (#318),to-read,,,,0,0
18635622,"A Knight of the Seven Kingdoms (The Tales of Dunk and Egg, #1-3)",George R.R. Martin,"Martin, George R.R.",Gary Gianni,"=""0345533488""","=""9780345533487""",0,4.23,Bantam Books,Hardcover,368,2015,2015,2024/03/01,2024/03/01,,,read,,,,1,0
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",0,4.34,Bantam,Kindle Edition,1125,2011,2011,2024/02/29,2024/02/29,,,read,,,,1,0
36442813,The Order of Time,Carlo Rovelli,"Rovelli, Carlo",,"=""073521610X""","=""9780735216105""",0,4.12,Riverhead Books,Hardcover,224,2018,2017,,2023/11/26,to-read,to-read (#317),to-read,,,,0,0
64582,Chaos: Making a New Science,James Gleick,"Gleick, James",,"=""0140092501""","=""9780140092509""",5,4.03,Penguin Group,Paperback,352,1988,1987,2023/01/26,2020/05/11,,,read,,,,1,0
1096754,The Relevance of General Systems Theory: The International Library of Systems Theory & Philosophy (Braziller Series of Poetry),Ervin Laszlo,"Laszlo, Ervin",,"=""0807606596""","=""9780807606599""",3,3.00,George Braziller Inc.,Hardcover,213,1972,1972,2023/11/15,2023/11/15,,,read,"This was a very strange book. On one hand, it seems to preempt the entire complex systems movement and a considerable amount of the language and examples used within by several years, decades in some cases. Bertalanffy’s work on open systems alone should make him very closely linked and studied, and some of the discussions here of transitions between chaos and order were way ahead of their time. Yet none of these authors or “general systems theory” seem to have any connection with other nonlinear systems/complex systems people that very much took off. <br/><br/>On the other hand, the way Bertalanffy is written about and how he is placed at the mantle of this movement is very cult-like. With Ervin Laszlo being his main disciple and he having done seemingly nothing for the ideas described here or in general systems theory, instead going completely off the deep-end into full blown crank territory, I’m seeing why this book reads so strangely and general systems theory is basically dead. <br/><br/>I think these ideas are good and that they were stolen or otherwise absorbed into modern complex systems science. I think these general systems guys were trying to take an even more interdisciplinary approach than the “complex systems” orbit of people and attempting a serious unity of philosophy with their science. Unfortunately, unlike the Santa Fe institute, they didn’t come with their own high level of scientific and mathematical rigor and pedigree, which allowed the whole enterprise to stutter and die in a pudding of bullshit once Bertalanffy kicked the bucket and Laszlo started talking about things like “quantum consciousness.” <br/><br/>In conclusion, there are some really good ideas here. I’d say this book is worthwhile to anyone with an interest in the areas of Complex systems, the more legitimate and modern version of general systems theory. I might take a deeper look at Bertalanffy’s other work. ",,,1,0
25670869,Why Greatness Cannot Be Planned: The Myth of the Objective,Kenneth O. Stanley,"Stanley, Kenneth O.",Joel Lehman,"=""3319155245""","=""9783319155241""",0,4.10,Springer,Kindle Edition,154,2015,2015,,2023/11/08,to-read,to-read (#316),to-read,,,,0,0
60800235,Evolving Neural Networks through Augmenting Topologies,Kenneth O. Stanley,"Stanley, Kenneth O.",Risto Miikkulainen,"=""""","=""""",0,5.00,MIT Press Journal,PDF,,2002,2002,2023/11/08,2023/11/08,,,read,,,,1,0
60715378,Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,Chip Huyen,"Huyen, Chip",,"=""1098107969""","=""9781098107963""",0,4.52,O'Reilly,Paperback,368,2022,2022,,2023/11/08,to-read,to-read (#315),to-read,,,,0,0
54109255,System Design Interview – An insider's guide,Alex Xu,"Xu, Alex",,"=""""","=""""",0,4.29,Byte Code LLC,Kindle Edition,324,2020,2020,,2023/11/08,to-read,to-read (#314),to-read,,,,0,0
3443421,Perspectives on Adaptation in Natural and Artificial Systems (Santa Fe Institute Studies on the Sciences of Complexity),Lashon Booker,"Booker, Lashon","Stephanie Forrest, Melanie  Mitchell, Rick Riolo","=""0195162927""","=""9780195162929""",0,4.00,Oxford University Press,Hardcover,324,2005,2005,,2023/11/08,to-read,to-read (#313),to-read,,,,0,0
105139,An Introduction to Genetic Algorithms (Complex Adaptive Systems),Melanie  Mitchell,"Mitchell, Melanie",,"=""0262631857""","=""9780262631853""",0,3.79,MIT Press,Paperback,221,1998,1996,,2023/11/08,to-read,to-read (#312),to-read,,,,0,0
30741739,Machine Learning Yearning,Andrew Ng,"Ng, Andrew",,"=""""","=""""",0,4.32,,ebook,118,,,,2023/11/08,to-read,to-read (#311),to-read,,,,0,0
